name,status,photoUrl
Bella,available,https://images.unsplash.com/photo-1558788353-f76d92427f16
Charlie,pending,https://images.unsplash.com/photo-1561948955-57072e0b8b2b
Max,sold,https://images.unsplash.com/photo-1546182990-dffeafbe841d
Lucy,available,https://images.unsplash.com/photo-1517849845537-4d257902454a
Cooper,pending,https://images.unsplash.com/photo-1537151671525-8e2f63e3b503
Daisy,sold,https://images.unsplash.com/photo-1601758123927-0a9b2b2a4a4d
Luna,available,https://images.unsplash.com/photo-1598136493503-7cf5a56cf9f8
Rocky,pending,https://images.unsplash.com/photo-1558784203-232e4b87b6eb
Molly,sold,https://images.unsplash.com/photo-1518717758536-85ae29035b6d
Buddy,available,https://images.unsplash.com/photo-1546182990-dffeafbe841d
